# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
|11    |201904          |202004         |342    |
|7     |201905          |201911         |339    |
|13    |201904          |202005         |337    |
|7     |201909          |202006         |336    |
|6     |201911          |202006         |330    |
|8     |201905          |201912         |329    |
|4     |202002          |202005         |325    |
|11    |201904          |202006         |318    |
|4     |202002          |202006         |306    |
|11    |201905          |202003         |302    |
|3     |201912          |202001         |301    |
|6     |201911          |202004         |300    |
|8     |201907          |202001         |297    |
|9     |201904          |201912         |292    |
|9     |201905          |202006         |288    |
|8     |201907          |202006         |288    |
|12    |201904          |202003         |284    |
|3     |202004          |202006         |278    |
|10    |201905          |202001         |256    |
|11    |201905          |202006         |256    |
|7     |201910          |202006         |256    |
|9     |201907          |202006         |253    |
|14    |201903          |202004         |250    |
|8     |201904          |201911         |247    |
|8     |201909          |202006         |245    |
|9     |201906          |202006         |243    |
|12    |201904          |202006         |238    |
|4     |202001          |202004         |237    |
|8     |201908          |202006         |233    |
|9     |201903          |201910         |219    |
|5     |201910          |202001         |214    |
|7     |201911          |202006         |213    |
|5     |202001          |202005         |208    |
|10    |201906          |202006         |192    |
|5     |202001          |202006         |183    |
|10    |201905          |202006         |182    |
|9     |201906          |202001         |162    |
|9     |201908          |202006         |154    |
|10    |201907          |202006         |148    |
|6     |201909          |202001         |145    |
|11    |201903          |201912         |138    |
|13    |201904          |202006         |135    |
|7     |201908          |202001         |134    |
|12    |201905          |202006         |130    |
|7     |201910          |202004         |130    |
|15    |201903          |202006         |125    |
|9     |201909          |202006         |125    |
